id,name,size,mean,std
-1,"[('dataset management and column filtering in multiple dataframes', 1)]",1905,0.17902120720996006,0.01066291721308271
0,"[('Extracting and Combining Script and Episode Information', 1)]",138,0.17994464761105136,0.004749992552705962
1,"[('Display first few rows of characters dataframe', 1)]",136,0.1777593303910073,0.0012597497648266535
2,"[('Data merging and joining with pandas', 1)]",117,0.16787087318734226,0.01472161511571794
3,"[('Filtering spoken lines in a script', 1)]",112,0.17158763722649642,0.011862943175726415
4,"[('Simpsons dataset analysis using pandas libraries', 1)]",96,0.18217617568249503,0.005735906539857939
5,"[('Merging Character and Location Data in a Script', 1)]",90,0.1683547263344129,0.014109745117228708
6,"[('Character Dataset Inspection', 1)]",81,0.17979601246339302,0.005539914177761038
7,"[('Merging Scripts and Episodes DataFrames', 1)]",81,0.17304566815311526,0.008827643616063037
8,"[('Reading CSV files into pandas DataFrames', 1)]",78,0.18420885350459662,0.008508512799781348
9,"[('df_script head extract and analysis', 1)]",71,0.19998652057748445,0.009002242750350975
10,"[('Understanding Dataframes with First Few Rows Displayed', 1)]",67,0.18760713801455142,0.0029717592045641955
11,"[('Creating Directories', 1)]",66,0.17417356846007434,0.007622786011683801
12,"[('Setting pandas display options for wide columns and long strings', 1)]",66,0.18207325718619607,0.0061252052757254025
13,"[('Displaying Information about the Characters DataFrame', 1)]",65,0.17990838380960317,0.0046644825526801666
14,"[('Data Cleaning and Removal of Missing Values in df_script DataFrame', 1)]",63,0.17434845155193693,0.006972098033668472
15,"[('Previewing Episodes DataFrame', 1)]",62,0.18172147701824864,0.0055959507114720025
16,"[('Checking the Sanity of Characters Dataset rows', 1)]",62,0.1801002071269097,0.00184192942240883
17,"[('Document merging with script and character data', 1)]",58,0.16899791976501202,0.007265476651799392
18,"[('Removing Unused Columns for Dataframes', 1)]",58,0.17037540956817823,0.012060770185273571
19,"[('Count of Data Points and Components in Simpsons Dataset', 1)]",57,0.1768816220655776,0.008878749202873322
20,"[('Viewing First Few Rows of a Script DataFrame', 1)]",57,0.17935583152269063,0.004699331382787709
21,"[('Displaying and Accessing Rows in a Pandas DataFrame', 1)]",57,0.17845670669748073,0.0037261609666296076
22,"[('Filtering and selecting data from a script dataframe and episodes dataframe', 1)]",56,0.174505531255688,0.008345718672270798
23,"[('Quick look at characters data', 1)]",56,0.17985776465918338,0.004499279987050755
24,"[('Checking if DataFrames are Loaded Correctly', 1)]",56,0.17949113063514233,0.005802456546600475
25,"[('Imports and Customizations', 1)]",55,0.18243488723581489,0.008369326568071772
26,"[('Data Cleaning', 1)]",55,0.18454594151540235,0.008903052669883645
27,"[('Dataframe Index and Column Transformation', 1)]",55,0.17167229110544377,0.011383608253218262
28,"[('Displaying Dataset Information', 1)]",54,0.181130421658357,0.010142241695771553
29,"[('Check for Missing and Null Values in DataFrame', 1)]",53,0.18062498097149832,0.0067801626988980455
30,"[('Display first 5 rows of characters dataframe', 1)]",53,0.1780982495478864,0.0013534393980220627
31,"[('Setting display options for pandas dataframes in Jupyter notebooks', 1)]",52,0.18430426372931555,0.0063126468431228926
32,"[('Understanding DataFrame Structure and Contents', 1)]",52,0.1900235520532498,0.004082137940491447
33,"[('Reading and Loading Simpsons Data into Pandas DataFrames', 1)]",52,0.17476291266771463,0.012481213711593915
34,"[('Checking Contents of DataFrame df_characters.head()', 1)]",50,0.17964346140623091,0.0033988160089461054
35,"[('Understanding DataFrame Structure', 1)]",49,0.19038843105033953,0.0035750624928625823
36,"[('Limiting script lines for faster execution and performance', 1)]",49,0.1827658962230293,0.004746711799428597
37,"[('Inspecting the first few rows of the characters dataframe', 1)]",48,0.1790906541670362,0.0011476504149865435
38,"[('Inspecting dataframes', 1)]",47,0.18097591748897066,0.0029635757241530305
